Trento 3-2,https://drive.google.com/file/d/164J99XDXXid1xYwj6LWSA8_vHRYpurWU/view?usp=drive_link
Lancaster Esquinero,https://drive.google.com/file/d/19vyzEbaq4NP3YaCM0ecNPnbpUCouPuTJ/view?usp=drive_link
Florencia 3-2,https://drive.google.com/file/d/1XVzFbSBCqMSYqtzV7XmzXj9X-7rKdygz/view?usp=drive_link 
Palermo 3-2,https://drive.google.com/file/d/1ATyDkhuJx93KCjxsb2uDALJxqvAsGORD/view?usp=drive_link
Luxury 3-2,https://drive.google.com/file/d/1ViGJdrvE5QtzIaVlAxWAVQPikx4J_Bzb/view?usp=drive_link
Turin 3-2,https://drive.google.com/file/d/1jVdefzgl8WUXbVQkhzQ1i3FcozXaTV1E/view?usp=drive_link
Forte 3-2,https://drive.google.com/file/d/1bJX7z5fiYUoUwJlOCoR6lDdgKEY2397D/view?usp=drive_link
Francesco 3-2,https://drive.google.com/file/d/10JKas1lcUYmjC4SwTVYTHsDOw5EhJbWG/view?usp=drive_link
Conti Esquinero,https://drive.google.com/file/d/1DlU6r4oulda_uRJjqO0T0OTbnkL2ttt8/view?usp=drive_link
Vibrato Modulos,https://drive.google.com/file/d/1FcWrKE7XqLKW14i75aEFkBBP2aAUjzAr/view?usp=drive_link
Sanders Esquinero,https://drive.google.com/file/d/1u_ycYooEKDFGP4nOjEVfuJFa_pPpu0xC/view?usp=drive_link 
Sanders 3-2,https://drive.google.com/file/d/1CmsVDXglnV_C7QaI_G6fpksQ53GL7BmE/view?usp=drive_link
Brooks 3-2,https://drive.google.com/file/d/1gsSweRy-12HuHFolGv5MdtrqIPUdKJFw/view?usp=drive_link
Aldo Esquinero,https://drive.google.com/file/d/19X1kLj3TVSicgUoYLLg_-RnSyUSS8hmn/view?usp=drive_link 
Opus Esquinero,https://drive.google.com/file/d/1u4RsAAEDgozzVXdlGZmSBjmlQjfA-ges/view?usp=drive_link 
Cornelia Esquinero,https://drive.google.com/file/d/1_0ZNytD5yGMgJvb6ytbzDHkI_o7hfOm7/view?usp=drive_link 
